FileName	Date	Time	Temperature	Rain(mm)	Relative Humanity(%)	Camera_ID	Angle
train\1_6104_0.jpg	2/17/2024	08:06:00	19	0	88.5	6104	3
train\2_6202_0.jpg	1/28/2017	08:17:00	20	0	76.2	6202	3
train\2_6202_1.jpg	1/28/2017	08:17:00	20	0	76.2	6202	3
train\2_6202_2.jpg	1/28/2017	08:17:00	20	0	76.2	6202	3
train\3_6314_0.jpg	1/31/2017	14:56:00	18	0	80.3	6314	2
train\3_6314_1.jpg	1/31/2017	14:56:00	18	0	80.3	6314	3
train\3_6314_2.jpg	1/31/2017	14:56:00	18	0	80.3	6314	3
train\3_6314_3.jpg	1/31/2017	14:56:00	18	0	80.3	6314	1
train\3_6314_4.jpg	1/31/2017	14:56:00	18	0	80.3	6314	1
train\3_6314_5.jpg	1/31/2017	14:56:00	18	0	80.3	6314	1
train\4_6314_0.jpg	1/29/2024	07:08:00	18	0	70.8	6314	1
train\4_6314_1.jpg	1/29/2024	07:08:00	18	0	70.8	6314	1
train\4_6314_2.jpg	1/29/2024	07:08:00	18	0	70.8	6314	3
train\5_6314_0.jpg	2/16/2024	06:33:00	19	75	94.8	6314	3
train\5_6314_1.jpg	2/16/2024	06:33:00	19	75	94.8	6314	3
train\5_6314_2.jpg	2/16/2024	06:33:00	19	75	94.8	6314	3
train\6_6504_0.jpg	2/17/2024	09:52:00	19	34	95.9	6504	3
train\7_6604_0.jpg	2/17/2024	09:52:00	19	34	95.9	6604	2
train\8_6614_0.jpg	2/20/2024	06:21:00	20	0	89.5	6614	0
train\8_6614_1.jpg	2/20/2024	06:21:00	20	0	89.5	6614	0
train\9_6713_0.jpg	2/25/2024	19:22:00	18	9.7	95.3	6713	1
train\9_6713_1.jpg	2/25/2024	19:22:00	18	9.7	95.3	6713	1
train\9_6713_2.jpg	2/25/2024	19:22:00	18	9.7	95.3	6713	1
train\10_6718_0.jpg	2/7/2024	14:57:00	33	0	95	6718	3
train\10_6718_1.jpg	2/7/2024	14:57:00	33	0	95	6718	3
train\11_6910_0.jpg	2/6/2017	05:34:00	27	0	78.8	6910	3
train\11_6910_1.jpg	2/6/2017	05:34:00	27	0	78.8	6910	3
train\12_6910_0.jpg	2/7/2017	06:46:00	27	0	78.8	6910	1
train\13_7110_0.jpg	2/9/2017	11:49:00	25	0	85	7110	3
train\13_7110_1.jpg	2/9/2017	11:49:00	25	0	85	7110	3
train\13_7110_2.jpg	2/9/2017	11:49:00	25	0	85	7110	3
train\14_7110_0.jpg	2/10/2017	12:58:00	25	0	85	7110	2
train\15_7203_0.jpg	2/13/2024	19:19:00	22	0	91.3	7203	2
train\15_7203_1.jpg	2/13/2024	19:19:00	22	0	91.3	7203	0
train\15_7203_2.jpg	2/13/2024	19:19:00	22	0	91.3	7203	0
train\16_7203_0.jpg	2/14/2024	19:29:00	22	0	91.3	7203	1
train\16_7203_1.jpg	2/14/2024	19:29:00	22	0	91.3	7203	2
train\16_7203_2.jpg	2/14/2024	19:29:00	22	0	91.3	7203	2
train\16_7203_3.jpg	2/14/2024	19:29:00	22	0	91.3	7203	2
train\16_7203_4.jpg	2/14/2024	19:29:00	22	0	91.3	7203	1
train\16_7203_5.jpg	2/14/2024	19:29:00	22	0	91.3	7203	1
train\16_7203_6.jpg	2/14/2024	19:29:00	22	0	91.3	7203	2
train\17_7501_0.jpg	2/14/2024	07:02:00	15	0	82.4	7501	2
train\17_7501_1.jpg	2/14/2024	07:02:00	15	0	82.4	7501	0
train\17_7501_2.jpg	2/14/2024	07:02:00	15	0	82.4	7501	0
train\18_7507_0.jpg	2/15/2024	07:15:00	18	0	95.1	7507	3
train\18_7507_1.jpg	2/15/2024	07:15:00	18	0	95.1	7507	3
train\18_7507_2.jpg	2/15/2024	07:15:00	18	0	95.1	7507	3
train\19_7518_0.jpg	2/17/2024	07:46:00	18	0	89.5	7518	3
train\19_7518_1.jpg	2/17/2024	07:46:00	18	0	89.5	7518	3
train\19_7518_2.jpg	2/17/2024	07:46:00	18	0	89.5	7518	3
train\20_7602_0.jpg	2/18/2024	19:35:00	22	0	88.9	7602	3
train\20_7602_1.jpg	2/18/2024	19:35:00	22	0	88.9	7602	3
train\21_7602_0.jpg	2/18/2024	12:16:00	25	0	67.8	7602	1
train\21_7602_1.jpg	2/18/2024	12:16:00	25	0	67.8	7602	1
train\21_7602_2.jpg	2/18/2024	12:16:00	25	0	67.8	7602	1
train\21_7602_3.jpg	2/18/2024	12:16:00	25	0	67.8	7602	1
train\21_7602_4.jpg	2/18/2024	12:16:00	25	0	67.8	7602	1
train\21_7602_5.jpg	2/18/2024	12:16:00	25	0	67.8	7602	1
train\22_7618_0.jpg	2/20/2024	07:41:00	20	0	89.5	7618	3
train\23_7618_0.jpg	2/20/2024	08:43:00	21	0	89.5	7618	3
train\23_7618_1.jpg	2/20/2024	08:43:00	21	0	89.5	7618	3
train\23_7618_2.jpg	2/20/2024	08:43:00	21	0	89.5	7618	3
train\23_7618_3.jpg	2/20/2024	08:43:00	21	0	89.5	7618	3
train\23_7618_4.jpg	2/20/2024	08:43:00	21	0	89.5	7618	3
train\24_7623_0.jpg	2/23/2024	06:45:00	18	0	67.8	7623	2
train\25_7623_0.jpg	2/23/2024	08:45:00	18	0	77.8	7623	2
train\26_7623_0.jpg	2/27/2024	11:46:00	21	0.6	96.2	7623	2
train\26_7623_1.jpg	2/27/2024	11:46:00	21	0.6	96.2	7623	2
train\27_7709_0.jpg	2/10/2024	10:48:00	19	0	100	7709	3
train\27_7709_1.jpg	2/10/2024	10:48:00	19	0	100	7709	3
train\28_7709_0.jpg	1/27/2017	07:26:00	21	0	74.5	7709	2
train\28_7709_1.jpg	1/27/2017	07:26:00	21	0	74.5	7709	2
train\29_7709_0.jpg	1/27/2017	08:26:00	22	0	74.5	7709	2
train\29_7709_1.jpg	1/27/2017	08:26:00	22	0	74.5	7709	2
train\30_7806_0.jpg	3/3/2024	18:54:00	21	4.4	84.6	7806	0
train\30_7806_1.jpg	3/3/2024	18:54:00	21	4.4	84.6	7806	0
train\30_7806_2.jpg	3/3/2024	18:54:00	21	4.4	84.6	7806	2
train\31_7811_0.jpg	2/8/2017	10:11:00	18	8	82.1	7811	2
train\31_7811_1.jpg	2/8/2017	10:11:00	18	8	82.1	7811	2
train\31_7811_2.jpg	2/8/2017	10:11:00	18	8	82.1	7811	2
train\32_7821_0.jpg	3/4/2024	06:59:00	22	26.6	84.6	7821	0
train\32_7821_1.jpg	3/4/2024	06:59:00	22	26.6	84.6	7821	0
train\32_7821_2.jpg	3/4/2024	06:59:00	22	26.6	84.6	7821	0
train\33_7821_0.jpg	3/5/2024	19:09:00	19	5.5	84.7	7821	0
train\33_7821_1.jpg	3/5/2024	19:09:00	19	5.5	84.7	7821	0
train\34_7826_0.jpg	3/8/2024	18:41:00	22	0	86	7826	2
train\34_7826_1.jpg	3/8/2024	18:41:00	22	0	86	7826	2
train\34_7826_2.jpg	3/8/2024	18:41:00	22	0	86	7826	2
train\34_7826_3.jpg	3/8/2024	18:41:00	22	0	86	7826	2
train\34_7826_4.jpg	3/8/2024	18:41:00	22	0	86	7826	2
train\34_7826_5.jpg	3/8/2024	18:41:00	22	0	86	7826	2
train\34_7826_6.jpg	3/8/2024	18:41:00	22	0	86	7826	3
train\34_7826_7.jpg	3/8/2024	18:42:00	22	0	86	7826	3
train\34_7826_8.jpg	3/8/2024	18:42:00	22	0	86	7826	2
train\34_7826_9.jpg	3/8/2024	18:42:00	22	0	86	7826	2
train\34_7826_10.jpg	3/8/2024	18:41:00	22	0	86	7826	2
train\34_7826_11.jpg	3/8/2024	18:41:00	22	0	86	7826	2
train\35_7826_0.jpg	3/9/2024	08:50:00	17	0	96.5	7826	3
train\35_7826_1.jpg	3/9/2024	08:50:00	17	0	96.5	7826	3
train\36_7826_0.jpg	3/9/2024	09:50:00	18	0	96.5	7826	3
train\37_7836_0.jpg	3/9/2024	13:46:00	22	0	96.5	7836	0
train\37_7836_1.jpg	3/9/2024	13:46:00	22	0	96.5	7836	0
train\38_8004_0.jpg	3/12/2024	19:23:00	22	3	97.1	8004	3
train\38_8004_1.jpg	3/12/2024	19:23:00	22	3	97.1	8004	3
train\38_8004_2.jpg	3/12/2024	19:23:00	22	3	97.1	8004	3
train\39_8008_0.jpg	3/16/2024	07:13:00	14	0	65.2	8008	3
train\39_8008_1.jpg	3/16/2024	07:13:00	14	0	65.2	8008	2
train\39_8008_2.jpg	3/16/2024	07:13:00	14	0	65.2	8008	2
train\39_8008_3.jpg	3/16/2024	07:13:00	14	0	65.2	8008	2
train\39_8008_4.jpg	3/16/2024	07:13:00	14	0	65.2	8008	3
train\39_8008_5.jpg	3/16/2024	07:13:00	14	0	65.2	8008	3
train\39_8008_6.jpg	3/16/2024	07:13:00	14	0	65.2	8008	3
train\39_8008_7.jpg	3/16/2024	07:13:00	14	0	65.2	8008	3
train\39_8008_8.jpg	3/16/2024	07:13:00	14	0	65.2	8008	3
train\39_8008_9.jpg	3/16/2024	07:13:00	14	0	65.2	8008	3
train\39_8008_10.jpg	3/16/2024	07:13:00	14	0	65.2	8008	0
train\39_8008_11.jpg	3/16/2024	07:13:00	14	0	65.2	8008	0
train\40_8008_0.jpg	2/1/2017	09:53:00	19	0	85.6	8008	0
train\40_8008_1.jpg	2/1/2017	09:53:00	19	0	85.6	8008	0
train\40_8008_2.jpg	2/1/2017	09:53:00	19	0	85.6	8008	3
train\41_8008_0.jpg	2/1/2017	10:53:00	20	0	85.6	8008	3
train\41_8008_1.jpg	2/1/2017	10:53:00	20	0	85.6	8008	3
train\41_8008_2.jpg	2/1/2017	10:53:00	20	0	85.6	8008	1
train\41_8008_3.jpg	2/1/2017	10:53:00	20	0	85.6	8008	2
train\41_8008_4.jpg	2/1/2017	10:53:00	20	0	85.6	8008	2
train\41_8008_5.jpg	2/1/2017	10:53:00	20	0	85.6	8008	2
train\41_8008_6.jpg	2/1/2017	10:53:00	20	0	85.6	8008	2
train\41_8008_7.jpg	2/1/2017	10:53:00	20	0	85.6	8008	2
train\41_8008_8.jpg	2/1/2017	10:53:00	20	0	85.6	8008	2
train\41_8008_9.jpg	2/1/2017	10:53:00	20	0	85.6	8008	2
train\41_8008_10.jpg	2/1/2017	10:53:00	20	0	85.6	8008	2
train\41_8008_11.jpg	2/1/2017	10:53:00	20	0	85.6	8008	1
train\42_8008_0.jpg	2/1/2017	11:53:00	21	0	85.6	8008	0
train\42_8008_1.jpg	2/1/2017	11:53:00	21	0	85.6	8008	3
train\42_8008_2.jpg	2/1/2017	11:53:00	21	0	85.6	8008	3
train\42_8008_3.jpg	2/1/2017	11:53:00	21	0	85.6	8008	2
train\42_8008_4.jpg	2/1/2017	11:53:00	21	0	85.6	8008	1
train\43_8206_0.jpg	1/18/2024	06:36:00	19	0	82.6	8206	1
train\43_8206_1.jpg	1/18/2024	06:36:00	19	0	82.6	8206	1
train\44_8206_0.jpg	1/18/2024	06:36:00	19	0	82.6	8206	1
train\45_8410_0.jpg	1/25/2024	07:37:00	20	1.1	69.4	8410	2
train\45_8410_1.jpg	1/25/2024	07:37:00	20	1.1	69.4	8410	2
train\45_8410_2.jpg	1/25/2024	07:37:00	20	1.1	69.4	8410	2
train\46_8605_0.jpg	1/26/2024	07:16:00	17	0	71.8	8605	2
train\46_8605_1.jpg	1/26/2024	07:16:00	17	0	71.8	8605	3
train\47_8610_0.jpg	1/27/2024	10:30:00	17	0	74.5	8610	1
train\47_8610_1.jpg	1/27/2024	10:30:00	17	0	74.5	8610	1
train\48_8615_0.jpg	1/27/2024	13:19:00	15	0	74.5	8615	3
train\48_8615_1.jpg	1/27/2024	13:19:00	15	0	74.5	8615	3
train\48_8615_2.jpg	1/27/2024	13:19:00	15	0	74.5	8615	1
train\49_8703_0.jpg	2/1/2024	03:00:00	20	0	75.3	8703	2
train\49_8703_1.jpg	2/1/2024	03:00:00	20	0	75.3	8703	2
train\49_8703_2.jpg	2/1/2024	03:00:00	20	0	75.3	8703	2
train\49_8703_3.jpg	2/1/2024	03:00:00	20	0	75.3	8703	2
train\49_8703_4.jpg	2/1/2024	03:00:00	20	0	75.3	8703	3
train\49_8703_5.jpg	2/1/2024	03:00:00	20	0	75.3	8703	3
train\49_8703_6.jpg	2/1/2024	03:00:00	20	0	75.3	8703	0
train\49_8703_7.jpg	2/1/2024	03:00:00	20	0	75.3	8703	1
train\49_8703_8.jpg	2/1/2024	03:01:00	20	0	75.3	8703	1
train\49_8703_9.jpg	2/1/2024	03:01:00	20	0	75.3	8703	3
train\49_8703_10.jpg	2/1/2024	03:00:00	20	0	75.3	8703	0
train\49_8703_11.jpg	2/1/2024	03:00:00	20	0	75.3	8703	2
train\49_8703_12.jpg	2/1/2024	03:00:00	20	0	75.3	8703	2
train\50_8708_0.jpg	1/31/2024	15:56:00	19	0	80.3	8708	0
train\50_8708_1.jpg	1/31/2024	15:56:00	19	0	80.3	8708	0
train\50_8708_2.jpg	1/31/2024	15:56:00	19	0	80.3	8708	0
train\50_8708_3.jpg	1/31/2024	15:56:00	19	0	80.3	8708	0
train\50_8708_4.jpg	1/31/2024	15:56:00	19	0	80.3	8708	0
train\51_CREK_0.jpg	2/1/2024	09:53:00	19	0	85.6	CREK	2
train\51_CREK_1.jpg	2/1/2024	09:53:00	19	0	85.6	CREK	2
train\51_CREK_2.jpg	2/1/2024	09:53:00	19	0	85.6	CREK	2
train\52_FC01_0.jpg	2/2/2024	10:49:00	17	0	92.3	FC01	1
train\52_FC01_1.jpg	2/2/2024	10:49:00	17	0	92.3	FC01	1
train\52_FC01_2.jpg	2/2/2024	10:49:00	17	0	92.3	FC01	1
train\53_FC11_0.jpg	2/3/2024	10:14:00	21	0	78.8	FC11	0
train\53_FC11_1.jpg	2/3/2024	10:14:00	21	0	78.8	FC11	0
train\53_FC11_2.jpg	2/3/2024	10:14:00	21	0	78.8	FC11	0
train\54_GC34_0.jpg	2/14/2024	10:40:00	20	0	82.4	GC34	3
train\54_GC34_1.jpg	2/14/2024	10:40:00	20	0	82.4	GC34	3
train\54_GC34_2.jpg	2/14/2024	10:40:00	20	0	82.4	GC34	3
train\55_P164_0.jpg	2/15/2024	11:40:00	21	0	83.4	P164	3
